reviewer,rating,title,date,body
NCMountainGirl,5.0 out of 5 stars,Love the size and durability of this new model,"Reviewed in the United States on August 7, 2025","My Instapot (generation 1) finally gave out on me. I was a little nervous about buying another one because of the reported ""burn errors"". But :-) I am happy to report that I am VERY happy with this new model! It's shorter and wider than my previous model.. which makes it nice because it sits very well underneath my cabinets now. Putting it together was a breeze , felt very solidly put together."
Laissan,5.0 out of 5 stars,Gran inversión para la cocina,"Reviewed in Mexico on March 30, 2025","Gran inversión para la cocina, soy una persona muy ocupada y me gusta cuidar de mi salud me cocino, pero en los guisos y cocciones de frijoles se consume mucho gas , opté por esta olla que vi, ya hice mi primer caldo de res con verduras quedó la carne muy suave en poco tiempo ⏱️ me encantó, tiene muy buena seguridad para la presión.

Lo que me encanta:
✔️ Cocina mucho más rápido que una olla convencional.
✔️ Tiene varias funciones, desde cocción a presión hasta salteado.
✔️ Es segura y fácil de limpiar.

Lo que podría mejorar:
🔹 La curva de aprendizaje puede ser un poco alta al inicio, pero una vez que entiendes los tiempos y funciones, todo es sencillo.

En general, es una excelente compra si quieres ahorrar tiempo en la cocina y hacer recetas deliciosas sin complicaciones. ¡La recomiendo totalmente!
Read more"
Frank,5.0 out of 5 stars,best appliance I ever bought,"Reviewed in Canada on July 12, 2020","This is an awesome product.
Easy pressure cooking with quality materials.
I bought the mini, but unless you are cooking really big things this is all you need.
I mostly cook for two, but the cooker will cook enough for four or more.
My favorite things are the fact it has a stainless steel cook pot, it has recipes and instructions, it is easy to use
it cooks beans from dry very fast and it is small. This fits under my cupboards on my kitchen counter with the
lid in the up position. I soak all my beans overnight if planned and cook them in this nice pot, unless I forgot to soak them and then it can cook in an hour or so. Don't forget that the cooking times they tell you in the information don't include the heating and cooling times which are about a half hour on either side."
Peaceful 6,4.0 out of 5 stars,Great pot...but no extra seals readily available,"Reviewed in the United States on July 1, 2025","I did a lot of research on what Instant Pot to buy and chose this model because of the wide base. The pot is about 10"" tall and almost 12"" wide/long. Wow! The weight of this pot was shocking and heavy.

I enjoyed cooking popcorn, boiled eggs, burgers, onions, and mini peppers in it. However, I was not able to make yogurt, a main food I bought this pot for. I found out you need an extra ""clean"" seal for this dish to avoid contamination.

Other Instant Pot owners highly recommend purchasing an extra sealing ring for certain dishes because they absorb odors. So, I searched everywhere: Amazon, Instant Pot Store online, Instant Pot customer service, and Ebay. Finally, I see a sealing ring on Temu for over $28 (shipping and taxes extra)!!! There's not guarantee it will fit, and be of good quality based on customer reviews for other models of Instant Pot.

Sadly, I will return this model and ponder if I should buy a smaller, more popular Instant Pot."
Betty Turner,5.0 out of 5 stars,Perfect bean cooker,"Reviewed in the United States on July 27, 2025","This is one of my go-to appliances now. It’s great for beans and soups and an occasional meat dish like Rouladen.

Understand what 3qts is before you buy it, it’s not big but not tiny. I feed three with it just fine. It comes to pressure slower than a manual pressure cooker and doesn’t slow cook as well as a CrockPot. I have a zojirushi for rice so don’t use that. I use sear and pressure cooker and it works perfectly for that.

So far it’s easy to use and clean and seems built very well."
HonestMom,4.0 out of 5 stars,Instant Pot vs. Cuisinart electric pressure cooker,"Reviewed in the United States on February 13, 2015","As nearly all things I have ordered through Amazon, the pressure cooker arrived when expected in fine condition. With this purchase I am replacing a much loved Cuisinart electric pressure cooker that is still available, and is $30 less expensive. I chose the InstantPot because the Teflon coating was wearing hard on my 2 year old Cuisinart which is bad (and not because of metal utensils). Also, I'd had to already replace the silicone ring (expected), but most recently the pressure sealing pop-up value has been problematic so the unit never pressurized. I thought about replacing the parts (i.e. the lid) but that was $55 and it seemed better to replace the whole unit at that price. So I will compare (thus far) the Cuisinart to the Instant Pot (IP) and hope it helps others since I couldn't find a similar comparison.
Many people note that the instructions for the IP aren't good. They are correct. IP seems to run home to its roots of stove top items and PSI numbers. Cuisinart never did, so I never learned this ""language."" I used my stove top Fagor only briefly. And for an electric, you don't NEED to know that stuff. You only need to know what the machine's buttons do. For my first try, I wanted to make just simple white rice. This unit is billed as a ""rice cooker,"" after all. But even the recipe in the booklet enclosed (for basmati rice) doesn't use the ""Rice"" function on the machine. I searched far and wide for what pressing the rice button meant -- how long would it cook? how much rice does the Rice setting function plan for you to be cooking, and how should you adjust timing up or down based on volume? Using Basmati rice and their ratio's of 1:1.5 grain to water, I did a manual high pressure for 8 minutes on 3 cups of rice. It was very, very good, but maybe a minute too long--the top was lovely and loose, but the bottom was clumpy and a bit further done than desirable. Now I am making a stew. Compared to the extremely hot browning function on the Cuisinart, even in a nonstick pot, the saute function in the Instant Pot's stainless pot (a major draw for me) felt a bit anemic. It browned nicely, but took much more time than a fast browning sear should, and the heat level went from ""on"" to ""hot"" (Hot being the goal) when I added cool things to the pan. (And I was browning 5-6 chunks of stew meat at a time. Not a lot. For both the rice and now the stew, the ""come to pressure"" time feels longer than the Cuisinart's. Still, I am charmed by the idea of making homemade yogurt, and that was an appeal to me on this unit. The rest I will figure out with time, because I refuse to be bested by a machine's clunky instructions when I believe we can develop a great relationship. I'll update on the Stew function. I browned the meat, sautéed some aromatics, and dumped in your usual stew vegetables, wine, beef broth and hit the STEW function, which sets at 35 minutes under pressure. I would estimate it took 10-15 minutes for the IP to reach the pressure level to begin the countdown. Again -- no telling how much meat and vegetables their 35 minutes means -- and that's just too bad that Instant Pot isn't responding to make things more clear. I will say that compared to the Cuisinart, the IP unit spews much less steam, is quieter, sits a bit shorter, has a top that is more intuitive, and the truly lovely design of dual lid holders to catch the lid liquid without having to set a hot, wet lid on the counter when you're dealing with a steaming unit. That is a very, very good thing. Amazon gets a 5 on shipping. Instant Pot has what I believe to be a great unit if I can maximize its functionality, which is not something I want to work terribly hard to accomplish. But I hear some beeping so the Stew has completed and the unit has gone into warming. Here's hoping!

Adding on from several days later. The stew was terrific, but a minute or two less on the meat would have been fine. Since then I've made an awesome soup and a lovely lemon/basil skinless, boneless chicken breast I'm sure to make again. I figured out that the sauté function could be elevated and I am content that it is, while not my stovetop, not anemic. I still think the Cuisinart is hotter, but I did love sauteeing the chicken in a bit of olive oil and butter tonight with a perfect outcome. My decision is to worry less about the function buttons, which I will learn over time, and focus on the basics I know and the recipes I love.

If you are thinking about buying an electric pressure cooker, don't waste a second more time in thought. Just GET one. You will love the investment, you will use it, you will make great meals fast, and you will explore cuts of meats and vegetables that you might not otherwise have tried, and love them. These appliances are AWESOME. I had a love affair with my Cuisinart but feel like my second relationship with Instant Pot is already terrific. I am delighted with the functionality and the more I use it, the more I love it."
Misho,5.0 out of 5 stars,Awesome!,"Reviewed in the United States on May 2, 2025","wow! amazing! 3 quarts is good for a single person or 2 people but can easily serve 4 non ravenous ppl. First, I was nervous after watching videos of ppl who used to warn about the steamer being so close to the vent. Turns out these were like 5 y old videos of the older model. This version is upgraded n there is no way u will get in the way of the steam unless u want to.. So yes first time, I was nervous hid away w my cat when it was on, then was nervous to release the steam so I let it naturally depressurize then used a long wooden spoon to release the steam, and oven muffs. All this was so unnecessary.. Now? just click make sure vent is on and been placing it away from my cabinets so steam wouldn't damage it. Perfect soft centered eggs need 3 min BTW w quick release n then cold tap water to cool off.. perfection. Thought IP eggs was a hype, its not and easy to peel, for real wow! . Cleaning? stainless steel you think, it will need much scrubbing? no, so easy. I leave the lid upside down when stored cause yes the silicone gasket holds onto food smells no matter how well you clean it. I only take it off if I made some serious cooking. Not for eggs and stuff that doesn't make a mess. Anyway got an additional silicone ring just in case I decide to do deserts or yogurt in it.
I couldn't believe a straight off the freezer salmon could be well cooked in 1 min ( yes you need to count warm up time) but its like 3 min or so. Meat that would take me 4 hours to be so tender for stew is too cooked in like 15 min I just love it. still learning my way around cook times n when to release pressure. Learned with meat, quick release changes the texture so slow or natural release is best.
I ordered the 6 quart the crisp duo too.. But so far my go to is the 3 quart smaller less real estate space needed. If I need to crisp something I just use my airfryer gadget / toaster/ whatever gadget instead.
I like the 3 quart more cause it is not as large, and I can see the pot while sauteeing. The bigger one is obviously taller and wider is closer to my face. The pot turns when I try to stir things but not a big deal sometimes desirable. you have to hold the lining pot w oven mits if you want to remove it while hot or need to hold it while stirring. Overall, this 3 q size is perfect and can easily meet the needs of a couple of people even 4. No mess around the cooking area cause the lining is deep. Testing the lid on the side handles is great. Can eat good healthy food in no time. No need for crock pot option, cause why? just pressure cook it, flavor will stay there and no evaporation or that stuff. BTW the accessory included, that steam rack thingy with the 3 quart is a real joke.. eggs would slip through it broccoli n vegetables too. It's useless its just a rack at best to rest another tool on it to contain your stuff. so I got that silicone steam basket for it. No fear of pressure cookers anymore, the time , energy bills saved n convenience is worth it! It comes with aome instructions, no menus, just a barcode to use yet another app."
rick0265,4.0 out of 5 stars,Beware of this cooker when slow cooking.,"Reviewed in the United States on July 12, 2025","The most important thing to know about this cooker is that when ever you remove the lid, the steam vent switch automatically switches the vent to the closed position. Ths is an issue (for instance) when you are using the pot to slow cook. Naturally when you're slow cooking you want the steam vent open, however, when you take off the lid to stir the contents or check the water level, or for whatever reason, the steam vent will be set to the closed position. This allows pressure to build up. If you don't catch this and set the switch back to open, when you remove the lid, your meal will be on the cieling and maybe on you too."
Judy L.,5.0 out of 5 stars,I had the 6 quart and just bought the 8 quart to replace another brand that failed. I will be sticking with Instant Pot cookers.,"Reviewed in the United States on November 12, 2014","So far, I love this pressure cooker. So far, I have used it only once to make beef tips. I used grass fed round steak, that is a little more tricky than beef from the store. Grass fed beef has much less fat. So it has to be cooked at lower temperature, and works best with moist heat. Prior to getting this pressure cooker, I have been using the MaxiMatic EPC-808 Elite Platinum 8-Quart Pressure Cooker, and have been very happy with the results, but there have been a couple of things that could have been better. In this review, I will compare the Instant Pot and the MaxiMatic pressure cooker from my observations to-date.

- The Instant Pot has a tri-ply stainless insert and the MaxiMatic has a non-stick insert - In the time that I have had the MaxiMatic pressure cooker, the non-stick insert has become less effective. Even though foods don't stick to the insert, it gets stains that are really difficult to remove. The Instant Pot is so easy to clean with a stainless cleaner, and nothing really sticks to it. So cleanup is so much easier.
- The MaxiMatic has one setting for browning meats (brown rice) with no adjustments for simmer. So if you want to make gravy from a roast, it boils and you have to turn it off to reduce the heat. The Instant Pot has the Sauté function for browning, but the temperature can be set to low, medium, or high. So something like gravy can be simmered on the low setting.
- When cooking foods that must be entered into the cooking process at different time, such as cooking a pot roast and adding veggies later, the sealing ring in the MaxiMatic must be reseated each time you open the cooker. This can be a real pain when the top of the cooker is hot. The sealing ring in the Instant Pot stays put. It doesn't have to be reseated each time you open the cooker.

From my point of view, one downside of the Instant Pot is that you have to choose a function and then adjust the cook time from there. With the MaxiMatic, you don't need to ever use the functions if you don't want to. You can set the unit to pressure cook at whatever time you want. So there is more manual flexibility. I don't think this is a major issue because you can set the time on the Instant Pot after you select a function. You also have the option of high or low pressure that you don't have on the MaxiMatic pressure cooker.

In summary, I prefer the stainless insert of the Instant Pot over the non-stick insert of the MaxiMatic cooker. I also prefer the flexibility of the three temperature setting for the Sauté function of the Instant Pot over the high setting of the MaxiMatic pot using the brown rice setting. I was a little concerned about the lower PSI max of the Instant Pot because it is 10 PSI vs. the 12 PSI of the Maximatic, but so far this hasn't been a problem. The only consideration might be a slightly increased allowance for cook time. At least so far, this hasn't proven to be a major concern.

UPDATE 11/22/16
I had bought the 6 quart Instant Pot in July of 2014. At that time, the 8 quart Instant Pot was not available so I bought a different brand because I use the 8 quart pressure cooker the most. When the other brand would not attain pressure in the middle of making a meal, I used another 8 quart pot that I had to finish the meal. My backup pot has a non-stick pot so I don't really like it. When I saw that Amazon was offering an 8 quart Instant Pot, I bought it immediately. The night I got it, I made braised beef short ribs, and they came out so tender and flavorful. What I noticed was that no steam was lost from the Instant Pot once it attained pressure. I had made these short ribs and cooked them for the same amount of time in my old cooker. In the old one, they were still tough and not cooked enough. Using the Instant Pot they were perfect. The old cooker had a display that showed the pressure as it went up and down, and this cooker does not have that. I did like this display because, on a slow release of pressure, I could see when the pressure was down enough to open the cooker. On this cooker, you just have to let it sit for 15 minutes and then quick release the remaining pressure. I also like that this cooker has markers for open and close on the rim that help in aligning the cover to close it. This cooker also has all of the features I described previously for the 6 quart cooker. On other feature that is worth mentioning is that the cover can be held in the handles on either side of the pot after you open it. With my old pot, I had to put the cover in the sink and dripped condensation on the floor to get there. It is so much more convenient and less messy to set the cover up on one of the handles so condensation drips back into the pot. It also keeps the cover handy for times when you add veggies later and have to put the cover back on it to pressure cook added veggies.

Considering all, the Instant Pot pressure cooker is my favorite of the brands I have tried, and I would highly recommend it. Hopefully it lasts longer the the 1 1/2 years that my old cooker lasted. If not, I will update this review, but I would definitely replace it with another of the same."
Fadi Shamaan,4.0 out of 5 stars,From Pressure Cooking Novice to Culinary Master,"Reviewed in the United States on May 22, 2023","As a self-proclaimed cooking enthusiast, I recently embarked on a culinary adventure with the Instant Pot Duo 7-in-1 Electric Pressure Cooker, and boy, what a game-changer it has been! This marvel of a kitchen appliance has not only simplified my cooking process but has also elevated my meals to a whole new level. Let me share my delightful experience with you.

First off, the title of ""7-in-1"" is no joke! This versatile appliance seamlessly transforms into a pressure cooker, slow cooker, rice cooker, steamer, sauté pan, yogurt maker, warmer, and even a sterilizer. It's like having an entire kitchen arsenal in one compact device. I couldn't help but admire the sleek stainless steel design that added a touch of elegance to my countertop.

Getting started was a breeze, thanks to the user-friendly controls and the accompanying free app, boasting a whopping 1900 recipes. The app became my culinary companion, guiding me through various cuisines and offering endless inspiration. I was particularly thrilled by the app's meal planning feature, which made my life much easier.

Now, let's talk about the real magic—the pressure cooking feature. It dramatically reduced cooking times, allowing me to prepare mouthwatering stews, roasts, and soups in a fraction of the time. I recall the first time I attempted a beef stew, and within 30 minutes, the meat was tender, succulent, and bursting with flavors that would typically take hours to develop.

One evening, I decided to put the slow cooker mode to the test. I loaded the pot with ingredients in the morning, set the timer, and left for work. The aroma that welcomed me upon returning home was heavenly, and the slow-cooked pulled pork was an absolute hit with my family.

The sauté function came in handy for browning meats before pressure cooking, while the steamer proved ideal for preserving nutrients in vegetables. I even dabbled in homemade yogurt, and the results were surprisingly delicious. The Instant Pot Duo truly opened doors to endless culinary possibilities.

Now, let me share a funny mishap. One evening, I forgot to put the sealing ring in place, resulting in a bit of a mess. However, I quickly learned from my mistake and now double-check everything before cooking. It was a small hiccup amidst the joy this appliance has brought into my kitchen.

I must say, the Instant Pot Duo 7-in-1 Electric Pressure Cooker has also provided some hilarious moments in my kitchen. One incident stands out vividly in my mind.

I decided to try a new recipe for a creamy pasta dish. With all the ingredients prepped and ready, I excitedly added them to the Instant Pot and set the cooking time. As I eagerly awaited the delicious outcome, I couldn't help but notice an unusual amount of steam escaping from the pressure release valve.

Confused, I quickly consulted the instruction manual and realized my rookie mistake—I forgot to seal the venting knob! I rushed to rectify the situation and twisted the knob into the correct sealing position. However, when I went to release the steam, a comical mishap occurred.

In my haste, I turned the valve too quickly, resulting in a spray of creamy pasta sauce shooting up and hitting the ceiling! It was as if I had accidentally created a pasta-themed work of art on my kitchen ceiling. My initial shock was quickly replaced by uncontrollable laughter. I couldn't believe the mess I had made.

After a good laugh and a quick clean-up, I realized that even in moments of culinary chaos, the Instant Pot Duo had a way of bringing joy to the kitchen. It's not just a cooking appliance; it's a source of entertainment and shared laughter with friends and family.

Despite the occasional mishaps, the Instant Pot Duo has consistently delivered incredible results. Its ability to tenderize meats, infuse flavors, and create delicious meals in record time has truly amazed me. The convenience of having multiple cooking functions in one device has not only saved me time but also precious kitchen space.

In terms of improvements, I would appreciate a more detailed user manual. While the free app provided great recipes and guidance, a comprehensive manual would have been helpful for understanding all the features and settings. Additionally, the 3-quart capacity is perfect for smaller portions and side dishes but can be limiting for larger family gatherings.

I've discovered another delightful aspect of the Instant Pot Duo 7-in-1 Electric Pressure Cooker that I must share. It has become a game-changer when it comes to meal prep and leftovers!

As someone who values efficiency and convenience in the kitchen, the Instant Pot Duo has exceeded my expectations. With its various cooking functions, I can now prepare large batches of meals and store them for later. This has been a game-changer for my busy schedule.

One of my favorite experiences was making a big batch of chili on a Sunday afternoon. The Instant Pot allowed me to quickly cook the flavorful chili using the pressure cooker function. After enjoying a hearty dinner, I portioned out the leftovers into individual containers and stored them in the refrigerator.

Throughout the week, I simply reheated the chili in the Instant Pot using the warming function, and voila! I had delicious and piping hot meals ready in minutes. Gone are the days of reheating leftovers in the microwave, resulting in uneven heating and compromised flavors.

Additionally, the Instant Pot Duo's versatility has made meal prep a breeze. I can use the sauté function to quickly sear meats or soften vegetables before adding them to a slow-cooked recipe. The ability to switch between functions seamlessly saves me time and dirty dishes.

Moreover, the Instant Pot Duo's stainless steel cooking pot is a breeze to clean. The non-stick surface prevents food from sticking, and any remnants are easily removed with a gentle scrub. This not only saves me precious time but also ensures that my dishes come out perfectly cooked each time.

While I have had countless positive experiences with the Instant Pot Duo, there is one minor drawback worth mentioning. The steam release valve can sometimes be a bit tricky to clean thoroughly. Its design includes small crevices where residue can accumulate. However, with a little extra attention and a small brush, it's manageable.

In conclusion, the Instant Pot Duo 7-in-1 Electric Pressure Cooker has revolutionized my cooking experience. Its versatility, ease of use, and impressive cooking capabilities have made it an invaluable addition to my kitchen. From quick weeknight dinners to elaborate weekend feasts, this kitchen marvel has never disappointed. With the Instant Pot Duo by your side, you'll transform from a cooking novice to a culinary master in no time!"
